Symbols,AAPL,MSFT,^GSPC
Date,,,
2017/10/2,154.4499969,75.01000214,2529.22998
2017/10/3,155.0899963,74.87999725,2535.129883
2017/10/4,153.8600006,74.72000122,2540.530029
2017/10/5,155.4400024,76.12000275,2552.51001
2017/10/6,155.4900055,76.02999878,2549.409912
2017/10/9,156.7299957,76.55000305,2551.820068
2017/10/10,158,76.62999725,2555.22998
2017/10/11,156.9799957,76.45999908,2555.23999
2017/10/12,157.3699951,77.29000092,2555.330078
2017/10/13,157.2799988,77.87000275,2557.649902
2017/10/16,160,77.80999756,2559.469971
2017/10/17,160.8699951,77.62000275,2559.709961
2017/10/18,160.7100067,77.84999847,2564.110107
2017/10/19,157.0800018,77.93000031,2562.360107
2017/10/20,157.75,78.97000122,2575.439941
2017/10/23,157.6900024,79.33999634,2578.290039
2017/10/24,157.4199982,79.19999695,2572.179932
2017/10/25,157.5500031,79.09999847,2567.399902
2017/10/26,157.8300018,79.41999817,2567.070068
2017/10/27,163.6000061,86.19999695,2582.97998
2017/10/30,168.0700073,84.33000183,2580.030029
2017/10/31,169.6499939,84.36000061,2578.290039
2017/11/1,169.9400024,83.76000214,2588.399902
2017/11/2,168.5,84.45999908,2581.110107
2017/11/3,174.2599945,84.54000092,2588.419922
2017/11/6,174.9900055,84.69999695,2593.379883
2017/11/7,175.25,84.90000153,2597.02002
2017/11/8,176.2400055,84.61000061,2595.469971
2017/11/9,176.1000061,84.26999664,2586.5
2017/11/10,175.3800049,84.09999847,2583.810059
2017/11/13,174.5,83.94000244,2587.659912
2017/11/14,173.4799957,84.09999847,2579.659912
2017/11/15,170.3200073,83.69000244,2572.840088
2017/11/16,171.8699951,83.41999817,2590.090088
2017/11/17,171.3899994,83.12000275,2583.959961
2017/11/20,170.5599976,82.58999634,2584.639893
2017/11/21,173.6999969,83.83999634,2601.189941
2017/11/22,175,83.90000153,2600.939941
2017/11/24,175.5,83.43000031,2604.209961
2017/11/27,175.0800018,83.98000336,2606.409912
2017/11/28,174.8699951,85.05999756,2627.689941
2017/11/29,172.9199982,84.91999817,2634.889893
2017/11/30,172.1399994,84.51999664,2657.73999
2017/12/1,171.6699982,84.80999756,2650.620117
2017/12/4,172.6199951,84.43000031,2665.189941
2017/12/5,171.5200043,82.68000031,2648.719971
2017/12/6,170.1999969,83.13999939,2634.409912
2017/12/7,170.4400024,82.80000305,2640.98999
2017/12/8,171,84.58000183,2651.649902
2017/12/11,172.8899994,85.37000275,2660.330078
2017/12/12,172.3899994,86.05000305,2669.719971
2017/12/13,173.5399933,86,2671.879883
2017/12/14,173.1300049,85.87000275,2668.090088
2017/12/15,174.1699982,87.08999634,2679.629883
2017/12/18,177.1999969,87.5,2694.969971
2017/12/19,175.3899994,86.34999847,2694.439941
2017/12/20,175.4199982,86.30000305,2691.01001
2017/12/21,176.0200043,86.09999847,2692.639893
2017/12/22,175.4199982,85.62999725,2685.350098
2017/12/26,171.4700012,85.52999878,2682.73999
2017/12/27,170.7799988,85.98000336,2685.639893
2017/12/28,171.8500061,85.93000031,2687.659912
2017/12/29,170.5899963,86.05000305,2692.120117
2018/1/2,172.3000031,86.30999756,2695.889893
2018/1/3,174.5500031,86.51000214,2714.370117
2018/1/4,173.4700012,87.66000366,2729.290039
2018/1/5,175.3699951,88.41000366,2743.449951
2018/1/8,175.6100006,88.58000183,2748.51001
2018/1/9,175.0599976,88.73000336,2759.139893
2018/1/10,174.3000031,88.19000244,2750.800049
2018/1/11,175.4900055,88.12999725,2767.560059
2018/1/12,177.3600006,89.77999878,2787.850098
2018/1/16,179.3899994,90.79000092,2807.540039
2018/1/17,179.25,90.27999878,2807.040039
2018/1/18,180.1000061,90.66999817,2805.830078
2018/1/19,179.5800018,90.61000061,2810.330078
2018/1/22,177.7799988,91.62000275,2833.030029
2018/1/23,179.4400024,92.30000305,2842.23999
2018/1/24,177.3000031,93.43000031,2852.969971
2018/1/25,174.9499969,93.23999786,2848.560059
2018/1/26,172,94.05999756,2872.870117
2018/1/29,170.1600037,95.44999695,2870.620117
2018/1/30,167.3699951,93.66000366,2837.75
2018/1/31,168.4400024,95.40000153,2839.26001
2018/2/1,168.6199951,96.06999969,2835.959961
2018/2/2,166.8000031,93.97000122,2808.919922
2018/2/5,163.8800049,93.23999786,2763.389893
2018/2/6,163.7200012,91.48000336,2701.040039
2018/2/7,163.3999939,91.76999664,2727.669922
2018/2/8,161,89.87999725,2685.27002
2018/2/9,157.8899994,88.93000031,2638.669922
2018/2/12,163.8899994,89.77999878,2672.610107
2018/2/13,164.75,90,2668.840088
2018/2/14,167.5399933,90.98999786,2702.100098
2018/2/15,173.0899963,92.72000122,2731.51001
2018/2/16,174.8200073,93.5,2754.419922
2018/2/20,174.2599945,93.05999756,2737.600098
2018/2/21,174.1199951,93.36000061,2747.75
2018/2/22,173.9499969,92.73000336,2731.26001
2018/2/23,175.6499939,94.06999969,2747.76001
2018/2/26,179.3899994,95.44999695,2780.639893
2018/2/27,180.4799957,95.83999634,2789.149902
2018/2/28,180.6199951,95.70999908,2761.52002
2018/3/1,179.7799988,94.56999969,2730.889893
2018/3/2,176.3000031,93.15000153,2696.25
2018/3/5,177.7400055,94.26999664,2728.090088
2018/3/6,178.25,94.48999786,2732.080078
2018/3/7,175.8500061,93.94000244,2730.600098
2018/3/8,177.1199951,95.09999847,2740.449951
2018/3/9,180,96.54000092,2786.570068
2018/3/12,182.3899994,97.20999908,2796.97998
2018/3/13,183.5,97.23999786,2801.899902
2018/3/14,180.5200043,95.41000366,2777.110107
2018/3/15,180.2400055,94.58000183,2763.030029
2018/3/16,179.1199951,95.37999725,2761.850098
2018/3/19,177.4700012,93.90000153,2741.379883
2018/3/20,176.8000031,93.76999664,2724.219971
2018/3/21,175.0899963,94.05000305,2739.139893
2018/3/22,172.6799927,91.75,2695.679932
2018/3/23,169.9199982,90.45999908,2657.669922
2018/3/26,173.1000061,94,2661.360107
2018/3/27,175.1499939,95.13999939,2674.780029
2018/3/28,170.0200043,91.23000336,2632.649902
2018/3/29,171.75,92.29000092,2659.070068
2018/4/2,168.9400024,90.87999725,2638.300049
2018/4/3,168.75,90.05000305,2619.139893
2018/4/4,172.0099945,92.76000214,2649.860107
2018/4/5,174.2299957,93.06999969,2672.080078
2018/4/6,172.4799957,92.45999908,2656.879883
2018/4/9,173.0899963,93.16999817,2653.550049
2018/4/10,174,93.27999878,2665.449951
2018/4/11,173.9199982,93.29000092,2661.429932
2018/4/12,175,94.16000366,2674.719971
2018/4/13,175.8399963,94.18000031,2680.26001
2018/4/16,176.1900024,94.66000366,2686.48999
2018/4/17,178.9400024,96.54000092,2713.340088
2018/4/18,178.8200073,96.72000122,2717.48999
2018/4/19,175.3899994,97.06999969,2702.840088
2018/4/20,171.2200012,96.11000061,2693.939941
2018/4/23,166.9199982,96.29000092,2682.860107
2018/4/24,166.3300018,96.47000122,2683.550049
2018/4/25,165.4199982,93.30000305,2645.300049
2018/4/26,165.7299957,95.15000153,2676.47998
2018/4/27,164.3300018,97.90000153,2677.350098
2018/4/30,167.2599945,96.40000153,2682.870117
2018/5/1,169.1999969,95.29000092,2655.27002
2018/5/2,177.75,95.16999817,2660.870117
2018/5/3,177.5,94.93000031,2637.139893
2018/5/4,184.25,95.37000275,2670.929932
2018/5/7,187.6699982,96.70999908,2683.350098
2018/5/8,186.2200012,96.16000366,2676.340088
2018/5/9,187.3999939,96.97000122,2701.27002
2018/5/10,190.3699951,97.94999695,2726.110107
2018/5/11,190.0599976,97.87000275,2732.860107
2018/5/14,189.5299988,98.69000244,2742.100098
2018/5/15,187.0700073,97.84999847,2718.590088
2018/5/16,188.4600067,97.40000153,2727.76001
2018/5/17,188.9100037,97.54000092,2731.959961
2018/5/18,187.8099976,96.93000031,2719.5
2018/5/21,189.2700043,98.01000214,2739.189941
2018/5/22,188.8800049,98.16999817,2742.23999
2018/5/23,188.5,98.73000336,2733.330078
2018/5/24,188.8399963,98.94000244,2731.969971
2018/5/25,189.6499939,98.98000336,2727.360107
2018/5/29,188.75,98.87999725,2710.669922
2018/5/30,188,99.25,2729.340088
2018/5/31,188.2299957,99.98999786,2722.5
2018/6/1,190.2599945,100.8600006,2736.929932
2018/6/4,193.4199982,101.8600006,2749.159912
2018/6/5,193.9400024,102.3300018,2752.610107
2018/6/6,194.0800018,102.5999985,2772.389893
2018/6/7,194.1999969,102.6900024,2779.899902
2018/6/8,192,101.9499969,2779.389893
2018/6/11,191.9700012,101.5899963,2790.209961
2018/6/12,192.6100006,101.4499969,2789.800049
2018/6/13,192.8800049,102.0100021,2791.469971
2018/6/14,191.5700073,102.0299988,2789.060059
2018/6/15,190.1600037,101.5299988,2782.810059
2018/6/18,189.2200012,101.1100006,2774.98999
2018/6/19,186.3300018,101,2765.050049
2018/6/20,187.1999969,102.5199966,2774.860107
2018/6/21,188.3500061,102.4599991,2769.280029
2018/6/22,186.1499939,100.7699966,2764.169922
2018/6/25,184.9199982,100.1100006,2742.939941
2018/6/26,186.5299988,100.0800018,2732.909912
2018/6/27,187.2799988,100.0199966,2746.090088
2018/6/28,186.2100067,99.11000061,2724.340088
2018/6/29,187.1900024,99.91000366,2743.26001
2018/7/2,187.3000031,100.0599976,2727.26001
2018/7/3,187.9499969,100.6299973,2736.580078
2018/7/5,186.4100037,99.91999817,2737.830078
2018/7/6,188.4299927,101.4300003,2764.409912
2018/7/9,190.6799927,102.25,2784.649902
2018/7/10,191.2799988,102.5100021,2795.580078
2018/7/11,189.7799988,102.3399963,2785.909912
2018/7/12,191.4100037,104.4100037,2799.219971
2018/7/13,191.8399963,105.5999985,2804.530029
2018/7/16,192.6499939,105.8199997,2801.189941
2018/7/17,191.8699951,106.5,2814.189941
2018/7/18,191.8000031,106.0500031,2816.76001
2018/7/19,192.5500031,105.3099976,2812.050049
2018/7/20,192.4299927,108.1999969,2809.699951
2018/7/23,191.9600067,108.1399994,2808.610107
2018/7/24,193.6600037,108.8199997,2829.98999
2018/7/25,194.8500061,111.1500015,2848.030029
2018/7/26,195.9600067,111,2845.570068
2018/7/27,195.1900024,110.1800003,2843.169922
2018/7/30,192.1999969,107.5299988,2821.73999
2018/7/31,192.1399994,106.7200012,2824.459961
2018/8/1,201.7599945,106.4499969,2825.830078
2018/8/2,208.3800049,108.0899963,2829.909912
2018/8/3,208.7400055,108.0500031,2840.379883
2018/8/6,209.25,108.4199982,2853.290039
2018/8/7,209.5,109.0999985,2863.429932
2018/8/8,207.8099976,109.75,2862.439941
2018/8/9,209.7799988,110.1600037,2862.47998
2018/8/10,209.1000061,109.6900024,2842.199951
2018/8/13,210.9499969,109.5800018,2843.399902
2018/8/14,210.5599976,109.75,2843.110107
2018/8/15,210.7400055,108.9899979,2827.949951
2018/8/16,213.8099976,108.8600006,2850.48999
2018/8/17,217.9499969,107.9000015,2855.629883
2018/8/20,219.1799927,107.9000015,2859.76001
2018/8/21,217.1900024,107.3499985,2873.22998
2018/8/22,216.3600006,107.3399963,2867.540039
2018/8/23,217.0500031,108.1800003,2868.780029
2018/8/24,216.8999939,108.5599976,2876.159912
2018/8/27,218.7400055,109.6399994,2898.25
2018/8/28,220.5399933,110.5,2903.77002
2018/8/29,223.4900055,112.0299988,2916.5
2018/8/30,228.2599945,112.6100006,2912.459961
2018/8/31,228.8699951,112.7799988,2906.320068
2018/9/4,229.1799927,111.9599991,2900.179932
2018/9/5,229.6699982,111.4199982,2894.209961
2018/9/6,227.3500061,108.9899979,2892.050049
2018/9/7,225.3699951,108.7200012,2883.810059
2018/9/10,221.8500061,109.6399994,2886.929932
2018/9/11,224.3000031,111.5899963,2892.52002
2018/9/12,225,111.8499985,2894.649902
2018/9/13,228.3500061,113.7300034,2906.76001
2018/9/14,226.8399963,113.7300034,2908.300049
